Cement (component 1)(kg in a m^3 mixture),Blast Furnace Slag (component 2)(kg in a m^3 mixture),Fly Ash (component 3)(kg in a m^3 mixture),Water (component 4)(kg in a m^3 mixture),Superplasticizer (component 5)(kg in a m^3 mixture),Coarse Aggregate (component 6)(kg in a m^3 mixture),Fine Aggregate (component 7)(kg in a m^3 mixture),Age (day),"Concrete compressive strength(MPa, megapascals)"
540.0 ,0.0 ,0.0 ,162.0 ,2.5 ,1040.0 ,676.0 ,28 ,79.99 
540.0 ,0.0 ,0.0 ,162.0 ,2.5 ,1055.0 ,676.0 ,28 ,61.89 
332.5 ,142.5 ,0.0 ,228.0 ,0.0 ,932.0 ,594.0 ,270 ,40.27 
332.5 ,142.5 ,0.0 ,228.0 ,0.0 ,932.0 ,594.0 ,365 ,41.05 
198.6 ,132.4 ,0.0 ,192.0 ,0.0 ,978.4 ,825.5 ,360 ,44.30 
266.0 ,114.0 ,0.0 ,228.0 ,0.0 ,932.0 ,670.0 ,90 ,47.03 
380.0 ,95.0 ,0.0 ,228.0 ,0.0 ,932.0 ,594.0 ,365 ,43.70 
380.0 ,95.0 ,0.0 ,228.0 ,0.0 ,932.0 ,594.0 ,28 ,36.45 
266.0 ,114.0 ,0.0 ,228.0 ,0.0 ,932.0 ,670.0 ,28 ,45.85 
475.0 ,0.0 ,0.0 ,228.0 ,0.0 ,932.0 ,594.0 ,28 ,39.29 
198.6 ,132.4 ,0.0 ,192.0 ,0.0 ,978.4 ,825.5 ,90 ,38.07 
198.6 ,132.4 ,0.0 ,192.0 ,0.0 ,978.4 ,825.5 ,28 ,28.02 
427.5 ,47.5 ,0.0 ,228.0 ,0.0 ,932.0 ,594.0 ,270 ,43.01 
190.0 ,190.0 ,0.0 ,228.0 ,0.0 ,932.0 ,670.0 ,90 ,42.33 
304.0 ,76.0 ,0.0 ,228.0 ,0.0 ,932.0 ,670.0 ,28 ,47.81 
380.0 ,0.0 ,0.0 ,228.0 ,0.0 ,932.0 ,670.0 ,90 ,52.91 
139.6 ,209.4 ,0.0 ,192.0 ,0.0 ,1047.0 ,806.9 ,90 ,39.36 
342.0 ,38.0 ,0.0 ,228.0 ,0.0 ,932.0 ,670.0 ,365 ,56.14 
380.0 ,95.0 ,0.0 ,228.0 ,0.0 ,932.0 ,594.0 ,90 ,40.56 
475.0 ,0.0 ,0.0 ,228.0 ,0.0 ,932.0 ,594.0 ,180 ,42.62 
427.5 ,47.5 ,0.0 ,228.0 ,0.0 ,932.0 ,594.0 ,180 ,41.84 
139.6 ,209.4 ,0.0 ,192.0 ,0.0 ,1047.0 ,806.9 ,28 ,28.24 
139.6 ,209.4 ,0.0 ,192.0 ,0.0 ,1047.0 ,806.9 ,3 ,8.06 
139.6 ,209.4 ,0.0 ,192.0 ,0.0 ,1047.0 ,806.9 ,180 ,44.21 
380.0 ,0.0 ,0.0 ,228.0 ,0.0 ,932.0 ,670.0 ,365 ,52.52 
380.0 ,0.0 ,0.0 ,228.0 ,0.0 ,932.0 ,670.0 ,270 ,53.30 
380.0 ,95.0 ,0.0 ,228.0 ,0.0 ,932.0 ,594.0 ,270 ,41.15 
342.0 ,38.0 ,0.0 ,228.0 ,0.0 ,932.0 ,670.0 ,180 ,52.12 
427.5 ,47.5 ,0.0 ,228.0 ,0.0 ,932.0 ,594.0 ,28 ,37.43 
475.0 ,0.0 ,0.0 ,228.0 ,0.0 ,932.0 ,594.0 ,7 ,38.60 
304.0 ,76.0 ,0.0 ,228.0 ,0.0 ,932.0 ,670.0 ,365 ,55.26 
266.0 ,114.0 ,0.0 ,228.0 ,0.0 ,932.0 ,670.0 ,365 ,52.91 
198.6 ,132.4 ,0.0 ,192.0 ,0.0 ,978.4 ,825.5 ,180 ,41.72 
475.0 ,0.0 ,0.0 ,228.0 ,0.0 ,932.0 ,594.0 ,270 ,42.13 
190.0 ,190.0 ,0.0 ,228.0 ,0.0 ,932.0 ,670.0 ,365 ,53.69 
237.5 ,237.5 ,0.0 ,228.0 ,0.0 ,932.0 ,594.0 ,270 ,38.41 
237.5 ,237.5 ,0.0 ,228.0 ,0.0 ,932.0 ,594.0 ,28 ,30.08 
332.5 ,142.5 ,0.0 ,228.0 ,0.0 ,932.0 ,594.0 ,90 ,37.72 
475.0 ,0.0 ,0.0 ,228.0 ,0.0 ,932.0 ,594.0 ,90 ,42.23 
237.5 ,237.5 ,0.0 ,228.0 ,0.0 ,932.0 ,594.0 ,180 ,36.25 
342.0 ,38.0 ,0.0 ,228.0 ,0.0 ,932.0 ,670.0 ,90 ,50.46 
427.5 ,47.5 ,0.0 ,228.0 ,0.0 ,932.0 ,594.0 ,365 ,43.70 
237.5 ,237.5 ,0.0 ,228.0 ,0.0 ,932.0 ,594.0 ,365 ,39.00 
380.0 ,0.0 ,0.0 ,228.0 ,0.0 ,932.0 ,670.0 ,180 ,53.10 
427.5 ,47.5 ,0.0 ,228.0 ,0.0 ,932.0 ,594.0 ,90 ,41.54 
427.5 ,47.5 ,0.0 ,228.0 ,0.0 ,932.0 ,594.0 ,7 ,35.08 
349.0 ,0.0 ,0.0 ,192.0 ,0.0 ,1047.0 ,806.9 ,3 ,15.05 
380.0 ,95.0 ,0.0 ,228.0 ,0.0 ,932.0 ,594.0 ,180 ,40.76 
237.5 ,237.5 ,0.0 ,228.0 ,0.0 ,932.0 ,594.0 ,7 ,26.26 
380.0 ,95.0 ,0.0 ,228.0 ,0.0 ,932.0 ,594.0 ,7 ,32.82 
332.5 ,142.5 ,0.0 ,228.0 ,0.0 ,932.0 ,594.0 ,180 ,39.78 
190.0 ,190.0 ,0.0 ,228.0 ,0.0 ,932.0 ,670.0 ,180 ,46.93 
237.5 ,237.5 ,0.0 ,228.0 ,0.0 ,932.0 ,594.0 ,90 ,33.12 
304.0 ,76.0 ,0.0 ,228.0 ,0.0 ,932.0 ,670.0 ,90 ,49.19 
139.6 ,209.4 ,0.0 ,192.0 ,0.0 ,1047.0 ,806.9 ,7 ,14.59 
198.6 ,132.4 ,0.0 ,192.0 ,0.0 ,978.4 ,825.5 ,7 ,14.64 
475.0 ,0.0 ,0.0 ,228.0 ,0.0 ,932.0 ,594.0 ,365 ,41.93 
198.6 ,132.4 ,0.0 ,192.0 ,0.0 ,978.4 ,825.5 ,3 ,9.13 
304.0 ,76.0 ,0.0 ,228.0 ,0.0 ,932.0 ,670.0 ,180 ,50.95 
332.5 ,142.5 ,0.0 ,228.0 ,0.0 ,932.0 ,594.0 ,28 ,33.02 
304.0 ,76.0 ,0.0 ,228.0 ,0.0 ,932.0 ,670.0 ,270 ,54.38 
266.0 ,114.0 ,0.0 ,228.0 ,0.0 ,932.0 ,670.0 ,270 ,51.73 
310.0 ,0.0 ,0.0 ,192.0 ,0.0 ,971.0 ,850.6 ,3 ,9.87 
190.0 ,190.0 ,0.0 ,228.0 ,0.0 ,932.0 ,670.0 ,270 ,50.66 
266.0 ,114.0 ,0.0 ,228.0 ,0.0 ,932.0 ,670.0 ,180 ,48.70 
342.0 ,38.0 ,0.0 ,228.0 ,0.0 ,932.0 ,670.0 ,270 ,55.06 
139.6 ,209.4 ,0.0 ,192.0 ,0.0 ,1047.0 ,806.9 ,360 ,44.70 
332.5 ,142.5 ,0.0 ,228.0 ,0.0 ,932.0 ,594.0 ,7 ,30.28 
190.0 ,190.0 ,0.0 ,228.0 ,0.0 ,932.0 ,670.0 ,28 ,40.86 
485.0 ,0.0 ,0.0 ,146.0 ,0.0 ,1120.0 ,800.0 ,28 ,71.99 
374.0 ,189.2 ,0.0 ,170.1 ,10.1 ,926.1 ,756.7 ,3 ,34.40 
313.3 ,262.2 ,0.0 ,175.5 ,8.6 ,1046.9 ,611.8 ,3 ,28.80 
425.0 ,106.3 ,0.0 ,153.5 ,16.5 ,852.1 ,887.1 ,3 ,33.40 
425.0 ,106.3 ,0.0 ,151.4 ,18.6 ,936.0 ,803.7 ,3 ,36.30 
375.0 ,93.8 ,0.0 ,126.6 ,23.4 ,852.1 ,992.6 ,3 ,29.00 
475.0 ,118.8 ,0.0 ,181.1 ,8.9 ,852.1 ,781.5 ,3 ,37.80 
469.0 ,117.2 ,0.0 ,137.8 ,32.2 ,852.1 ,840.5 ,3 ,40.20 
388.6 ,97.1 ,0.0 ,157.9 ,12.1 ,852.1 ,925.7 ,3 ,28.10 
531.3 ,0.0 ,0.0 ,141.8 ,28.2 ,852.1 ,893.7 ,3 ,41.30 
318.8 ,212.5 ,0.0 ,155.7 ,14.3 ,852.1 ,880.4 ,3 ,25.20 
401.8 ,94.7 ,0.0 ,147.4 ,11.4 ,946.8 ,852.1 ,3 ,41.10 
362.6 ,189.0 ,0.0 ,164.9 ,11.6 ,944.7 ,755.8 ,3 ,35.30 
323.7 ,282.8 ,0.0 ,183.8 ,10.3 ,942.7 ,659.9 ,3 ,28.30 
379.5 ,151.2 ,0.0 ,153.9 ,15.9 ,1134.3 ,605.0 ,3 ,28.60 
286.3 ,200.9 ,0.0 ,144.7 ,11.2 ,1004.6 ,803.7 ,3 ,24.40 
439.0 ,177.0 ,0.0 ,186.0 ,11.1 ,884.9 ,707.9 ,3 ,39.30 
389.9 ,189.0 ,0.0 ,145.9 ,22.0 ,944.7 ,755.8 ,3 ,40.60 
337.9 ,189.0 ,0.0 ,174.9 ,9.5 ,944.7 ,755.8 ,3 ,24.10 
374.0 ,189.2 ,0.0 ,170.1 ,10.1 ,926.1 ,756.7 ,7 ,46.20 
313.3 ,262.2 ,0.0 ,175.5 ,8.6 ,1046.9 ,611.8 ,7 ,42.80 
425.0 ,106.3 ,0.0 ,153.5 ,16.5 ,852.1 ,887.1 ,7 ,49.20 
425.0 ,106.3 ,0.0 ,151.4 ,18.6 ,936.0 ,803.7 ,7 ,46.80 
375.0 ,93.8 ,0.0 ,126.6 ,23.4 ,852.1 ,992.6 ,7 ,45.70 
475.0 ,118.8 ,0.0 ,181.1 ,8.9 ,852.1 ,781.5 ,7 ,55.60 
469.0 ,117.2 ,0.0 ,137.8 ,32.2 ,852.1 ,840.5 ,7 ,54.90 
388.6 ,97.1 ,0.0 ,157.9 ,12.1 ,852.1 ,925.7 ,7 ,34.90 
531.3 ,0.0 ,0.0 ,141.8 ,28.2 ,852.1 ,893.7 ,7 ,46.90 
318.8 ,212.5 ,0.0 ,155.7 ,14.3 ,852.1 ,880.4 ,7 ,33.40 
401.8 ,94.7 ,0.0 ,147.4 ,11.4 ,946.8 ,852.1 ,7 ,54.10 
362.6 ,189.0 ,0.0 ,164.9 ,11.6 ,944.7 ,755.8 ,7 ,55.90 
323.7 ,282.8 ,0.0 ,183.8 ,10.3 ,942.7 ,659.9 ,7 ,49.80 
379.5 ,151.2 ,0.0 ,153.9 ,15.9 ,1134.3 ,605.0 ,7 ,47.10 
286.3 ,200.9 ,0.0 ,144.7 ,11.2 ,1004.6 ,803.7 ,7 ,38.00 
439.0 ,177.0 ,0.0 ,186.0 ,11.1 ,884.9 ,707.9 ,7 ,56.10 
389.9 ,189.0 ,0.0 ,145.9 ,22.0 ,944.7 ,755.8 ,7 ,59.09 
362.6 ,189.0 ,0.0 ,164.9 ,11.6 ,944.7 ,755.8 ,7 ,22.90 
337.9 ,189.0 ,0.0 ,174.9 ,9.5 ,944.7 ,755.8 ,7 ,35.10 
374.0 ,189.2 ,0.0 ,170.1 ,10.1 ,926.1 ,756.7 ,28 ,61.09 
313.3 ,262.2 ,0.0 ,175.5 ,8.6 ,1046.9 ,611.8 ,28 ,59.80 
425.0 ,106.3 ,0.0 ,153.5 ,16.5 ,852.1 ,887.1 ,28 ,60.29 
425.0 ,106.3 ,0.0 ,151.4 ,18.6 ,936.0 ,803.7 ,28 ,61.80 
375.0 ,93.8 ,0.0 ,126.6 ,23.4 ,852.1 ,992.6 ,28 ,56.70 
475.0 ,118.8 ,0.0 ,181.1 ,8.9 ,852.1 ,781.5 ,28 ,68.30 
469.0 ,117.2 ,0.0 ,137.8 ,32.2 ,852.1 ,840.5 ,28 ,66.90 
388.6 ,97.1 ,0.0 ,157.9 ,12.1 ,852.1 ,925.7 ,28 ,50.70 
531.3 ,0.0 ,0.0 ,141.8 ,28.2 ,852.1 ,893.7 ,28 ,56.40 
318.8 ,212.5 ,0.0 ,155.7 ,14.3 ,852.1 ,880.4 ,28 ,55.50 
401.8 ,94.7 ,0.0 ,147.4 ,11.4 ,946.8 ,852.1 ,28 ,68.50 
